timestamp,temperature,humidity,pressure,sensor_id
2023-01-01 00:00:00,22.5,45.2,1013.2,A001
2023-01-01 00:01:00,22.6,45.3,1013.1,A001
2023-01-01 00:02:00,22.7,45.5,1013.0,A001
2023-01-01 00:03:00,22.8,45.8,1012.9,A001
2023-01-01 00:04:00,22.9,46.0,1012.8,A001
2023-01-01 00:05:00,23.0,46.3,1012.7,A001
2023-01-01 00:06:00,23.1,46.7,1012.6,A001
2023-01-01 00:07:00,23.2,47.0,1012.5,A001
2023-01-01 00:08:00,23.3,47.2,1012.4,A001
2023-01-01 00:09:00,23.4,47.5,1012.3,A001
2023-01-01 00:10:00,23.5,47.8,1012.2,A001
2023-01-01 00:11:00,23.6,48.0,1012.1,A001
2023-01-01 00:12:00,23.7,48.3,1012.0,A001
2023-01-01 00:13:00,23.8,48.5,1011.9,A001
2023-01-01 00:14:00,23.9,48.8,1011.8,A001
2023-01-01 00:15:00,24.0,49.0,1011.7,A001
2023-01-01 00:16:00,24.1,49.2,1011.6,A001
2023-01-01 00:17:00,24.2,49.5,1011.5,A001
2023-01-01 00:18:00,24.3,49.7,1011.4,A001
2023-01-01 00:19:00,24.4,50.0,1011.3,A001
2023-01-01 00:20:00,24.5,50.2,1011.2,A001
2023-01-01 00:21:00,24.6,50.5,1011.1,A001
2023-01-01 00:22:00,24.7,50.7,1011.0,A001
2023-01-01 00:23:00,24.8,51.0,1010.9,A001
2023-01-01 00:24:00,24.9,51.2,1010.8,A001
2023-01-01 00:25:00,25.0,51.5,1010.7,A001
2023-01-01 00:26:00,25.1,51.7,1010.6,A001
2023-01-01 00:27:00,25.2,52.0,1010.5,A001
2023-01-01 00:28:00,25.3,52.2,1010.4,A001
2023-01-01 00:29:00,25.4,52.5,1010.3,A001
2023-01-01 00:30:00,25.5,52.7,1010.2,A001
2023-01-01 00:31:00,25.6,53.0,1010.1,A001
2023-01-01 00:32:00,25.7,53.2,1010.0,A001
2023-01-01 00:33:00,25.8,53.5,1009.9,A001
2023-01-01 00:34:00,25.9,53.7,1009.8,A001
2023-01-01 00:35:00,26.0,54.0,1009.7,A001
2023-01-01 00:36:00,26.1,54.2,1009.6,A001
2023-01-01 00:37:00,26.2,54.5,1009.5,A001
2023-01-01 00:38:00,26.3,54.7,1009.4,A001
2023-01-01 00:39:00,26.4,55.0,1009.3,A001
2023-01-01 00:40:00,26.5,55.2,1009.2,A001
2023-01-01 00:41:00,26.6,55.5,1009.1,A001
2023-01-01 00:42:00,26.7,55.7,1009.0,A001
2023-01-01 00:43:00,26.8,56.0,1008.9,A001
2023-01-01 00:44:00,26.9,56.2,1008.8,A001
2023-01-01 00:45:00,27.0,56.5,1008.7,A001
2023-01-01 00:46:00,27.1,56.7,1008.6,A001
2023-01-01 00:47:00,27.2,57.0,1008.5,A001
2023-01-01 00:48:00,27.3,57.2,1008.4,A001
2023-01-01 00:49:00,27.4,57.5,1008.3,A001
2023-01-01 00:50:00,27.5,57.7,1008.2,A001
2023-01-01 00:51:00,27.4,57.5,1008.3,A001
2023-01-01 00:52:00,27.3,57.2,1008.4,A001
2023-01-01 00:53:00,27.2,57.0,1008.5,A001
2023-01-01 00:54:00,27.1,56.7,1008.6,A001
2023-01-01 00:55:00,27.0,56.5,1008.7,A001
2023-01-01 00:56:00,26.9,56.2,1008.8,A001
2023-01-01 00:57:00,26.8,56.0,1008.9,A001
2023-01-01 00:58:00,26.7,55.7,1009.0,A001
2023-01-01 00:59:00,26.6,55.5,1009.1,A001
2023-01-01 01:00:00,26.5,55.2,1009.2,A001
2023-01-01 01:01:00,26.4,55.0,1009.3,A001
2023-01-01 01:02:00,26.3,54.7,1009.4,A001
2023-01-01 01:03:00,26.2,54.5,1009.5,A001
2023-01-01 01:04:00,26.1,54.2,1009.6,A001
2023-01-01 01:05:00,26.0,54.0,1009.7,A001
2023-01-01 01:06:00,25.9,53.7,1009.8,A001
2023-01-01 01:07:00,25.8,53.5,1009.9,A001
2023-01-01 01:08:00,25.7,53.2,1010.0,A001
2023-01-01 01:09:00,25.6,53.0,1010.1,A001
2023-01-01 01:10:00,25.5,52.7,1010.2,A001
2023-01-01 01:11:00,25.4,52.5,1010.3,A001
2023-01-01 01:12:00,25.3,52.2,1010.4,A001
2023-01-01 01:13:00,25.2,52.0,1010.5,A001
2023-01-01 01:14:00,25.1,51.7,1010.6,A001
2023-01-01 01:15:00,25.0,51.5,1010.7,A001
2023-01-01 01:16:00,24.9,51.2,1010.8,A001
2023-01-01 01:17:00,24.8,51.0,1010.9,A001
2023-01-01 01:18:00,24.7,50.7,1011.0,A001
2023-01-01 01:19:00,24.6,50.5,1011.1,A001
2023-01-01 01:20:00,24.5,50.2,1011.2,A001
2023-01-01 01:21:00,24.4,50.0,1011.3,A001
2023-01-01 01:22:00,24.3,49.7,1011.4,A001
2023-01-01 01:23:00,24.2,49.5,1011.5,A001
2023-01-01 01:24:00,24.1,49.2,1011.6,A001
2023-01-01 01:25:00,24.0,49.0,1011.7,A001
2023-01-01 01:26:00,23.9,48.8,1011.8,A001
2023-01-01 01:27:00,23.8,48.5,1011.9,A001
2023-01-01 01:28:00,23.7,48.3,1012.0,A001
2023-01-01 01:29:00,23.6,48.0,1012.1,A001
2023-01-01 01:30:00,23.5,47.8,1012.2,A001
2023-01-01 01:31:00,23.4,47.5,1012.3,A001
2023-01-01 01:32:00,23.3,47.2,1012.4,A001
2023-01-01 01:33:00,23.2,47.0,1012.5,A001
2023-01-01 01:34:00,23.1,46.7,1012.6,A001
2023-01-01 01:35:00,23.0,46.3,1012.7,A001
2023-01-01 01:36:00,22.9,46.0,1012.8,A001
2023-01-01 01:37:00,22.8,45.8,1012.9,A001
2023-01-01 01:38:00,22.7,45.5,1013.0,A001
2023-01-01 01:39:00,22.6,45.3,1013.1,A001
2023-01-01 01:40:00,22.5,45.2,1013.2,A001 